energy,delta,beta,attenuation_length
10,4.05105309944e-06,4.37050618427e-09,0.225748418335
11,3.34684437637e-06,3.03197522994e-09,0.295827212416
12,2.81152765809e-06,2.19240167897e-09,0.375020564543
13,2.39510474781e-06,1.64109632683e-09,0.462465169587
14,2.06480399136e-06,1.26579185802e-09,0.556757558616
15,1.79841374868e-06,1.00236160424e-09,0.656206871356
16,1.58044649026e-06,8.1235398017e-10,0.759086311593
17,1.39983824736e-06,6.71880156355e-10,0.863805011418
18,1.24851344592e-06,5.65674477142e-10,0.968985695928
19,1.12046669326e-06,4.83702064673e-10,1.07355651828
20,1.0111563529e-06,4.19541496978e-10,1.17584895121
21,9.17097362676e-07,3.68792168602e-10,1.27395905623
22,8.3557886423e-07,3.2751291251e-10,1.3693212483
23,7.64466776825e-07,2.93405656301e-10,1.46204297144
24,7.02061366508e-07,2.65668672553e-10,1.54740810697
25,6.46997887983e-07,2.42101311565e-10,1.63011898126
26,5.98167701092e-07,2.22107602948e-10,1.70851848614
27,5.54664439214e-07,2.0508746013e-10,1.78177796782
28,5.15740451511e-07,1.90137289617e-10,1.85323769474
29,4.80774679867e-07,1.77418273118e-10,1.91760922208
30,4.49248238079e-07,1.65990679528e-10,1.98130574003
31,4.20724112244e-07,1.56181435918e-10,2.03781779376
32,3.94833143015e-07,1.47243554303e-10,2.09396869505
33,3.7126073146e-07,1.39450464103e-10,2.14398899316
34,3.49738103287e-07,1.3231758713e-10,2.19310772937
35,3.30034355189e-07,1.25954089852e-10,2.23808273449
36,3.11950018813e-07,1.20148797294e-10,2.28104853833
37,2.95312464525e-07,1.14834437348e-10,2.32210890742
38,2.79971305507e-07,1.10028834148e-10,2.35975191619
39,2.65795342441e-07,1.05541473915e-10,2.39700363893
40,2.52669452423e-07,1.01470932505e-10,2.43083125894
41,2.40492416382e-07,9.76815347931e-11,2.46354286822
42,2.29174976434e-07,9.41312686964e-11,2.49559009225
43,2.18638029432e-07,9.08862772186e-11,2.52458318348
44,2.08811464155e-07,8.78239552445e-11,2.55323498551
45,1.99632811946e-07,8.49477290942e-11,2.58102474426
46,1.91046319507e-07,8.22893685074e-11,2.60648298411
47,1.83002150361e-07,7.97687260206e-11,2.63163674256
48,1.75455577342e-07,7.73821938933e-11,2.65628200102
49,1.6836635607e-07,7.51587023354e-11,2.67905174628
50,1.61698290029e-07,7.30421113897e-11,2.70155076202
51,1.55418667085e-07,7.10252944455e-11,2.72378758705
52,1.49497893948e-07,6.91334548731e-11,2.74451021032
53,1.4390910622e-07,6.73335901134e-11,2.76470510697
54,1.38627966768e-07,6.56129302477e-11,2.78466695936
55,1.33632297039e-07,6.3973589992e-11,2.80409706724
56,1.28901880257e-07,6.24207505082e-11,2.82253569066
57,1.24418274685e-07,6.09320990968e-11,2.84076598996
58,1.20164604016e-07,5.95039249218e-11,2.85879391271
59,1.16125408771e-07,5.81411869551e-11,2.87620972237
60,1.12286502286e-07,5.68396890335e-11,2.89303382666
61,1.08634864621e-07,5.55881237963e-11,2.90967581504
62,1.05158510273e-07,5.43838032825e-11,2.92614059664
63,1.01846406439e-07,5.32301383375e-11,2.94210596811
64,9.86883426001e-08,5.21249882045e-11,2.9575392137
65,9.56749263605e-08,5.10593892637e-11,2.97281225663
66,9.27974568734e-08,5.00313497157e-11,2.98792918668
67,9.00478792526e-08,4.90400482787e-11,3.00283012072
68,8.74187151457e-08,4.80880953811e-11,3.01724076163
69,8.4903042515e-08,4.71681181898e-11,3.03150866898
70,8.24944219926e-08,4.62786022348e-11,3.04563729481
71,8.01868644996e-08,4.54181250495e-11,3.05962995973
72,7.79747802511e-08,4.45874477474e-11,3.07334521594
73,7.58529949347e-08,4.3784820484e-11,3.08681087564
74,7.38166524251e-08,4.3007269534e-11,3.10015112252
75,7.18612258731e-08,4.2253688232e-11,3.11336879598
76,6.99824842925e-08,4.1523032641e-11,3.12646663434
77,6.81764735717e-08,4.0815941327e-11,3.13932235867
78,6.64394777322e-08,4.01307803237e-11,3.15198576992
79,6.47680301308e-08,3.94656312099e-11,3.16453796833
80,6.31588736443e-08,3.8819667124e-11,3.17698132004
81,6.16089509679e-08,3.8192105136e-11,3.18931811198
82,6.01153955758e-08,3.75826521772e-11,3.20151232624
83,5.86754931295e-08,3.6990975307e-11,3.21353164395
84,5.72867122683e-08,3.64155334406e-11,3.22545132989
85,5.59466613091e-08,3.58556956887e-11,3.23727338145
86,5.46530868132e-08,3.53108627161e-11,3.24899973303
87,5.34038641062e-08,3.47804648198e-11,3.26063225875
88,5.21969866793e-08,3.42639176241e-11,3.27217683565
89,5.10305644382e-08,3.3760732632e-11,3.28363280707
90,4.99028086925e-08,3.32704365025e-11,3.29500021354
91,4.88120290776e-08,3.27925613222e-11,3.30628071252
92,4.77566265979e-08,3.23266610576e-11,3.31747591262
93,4.67350877643e-08,3.18723103082e-11,3.3285873756
94,4.57459781556e-08,3.14288732381e-11,3.33964104778
95,4.47879393893e-08,3.09960978203e-11,3.35062502025
96,4.38596846133e-08,3.05737204868e-11,3.36152953526
97,4.29599919132e-08,3.01613869559e-11,3.37235598638
98,4.20877013992e-08,2.97587585028e-11,3.38310572869
99,4.12417114664e-08,2.93655111275e-11,3.3937800802
100,4.04209787511e-08,2.89813229572e-11,3.40438171122
101,3.9624500935e-08,2.8605874122e-11,3.41491468603
102,3.88513349604e-08,2.82389167948e-11,3.42537599411
103,3.81005798762e-08,2.78801784689e-11,3.43576681859
104,3.73713778379e-08,2.75293979153e-11,3.44608831181
105,3.66629116569e-08,2.71863246126e-11,3.4563415964
106,3.59744025095e-08,2.68507182122e-11,3.46652776634
107,3.5305104327e-08,2.65220426136e-11,3.47668792395
108,3.4654315242e-08,2.61998688258e-11,3.48685255224
109,3.40213562195e-08,2.58845242021e-11,3.49695280398
110,3.34055818182e-08,2.5575803304e-11,3.50698967194
111,3.28063755403e-08,2.52735086653e-11,3.51696412472
112,3.22231482872e-08,2.49774504151e-11,3.52687710754
113,3.1655336912e-08,2.46874459206e-11,3.53672954304
114,3.11024032877e-08,2.44033157605e-11,3.54652286825
115,3.05638306359e-08,2.41243718539e-11,3.55633448343
116,3.0039126957e-08,2.38509903795e-11,3.56608794105
117,2.95278201112e-08,2.35830138861e-11,3.57578408276
118,2.90294578802e-08,2.33202906738e-11,3.58542373098
119,2.85436069665e-08,2.30626745382e-11,3.59500768946
120,2.80698520516e-08,2.28100245266e-11,3.6045367439
121,2.76077949083e-08,2.25622047077e-11,3.61401166245
122,2.71570564362e-08,2.23189800393e-11,3.62345006647
123,2.67172638663e-08,2.20797087725e-11,3.63293814056
124,2.62880687976e-08,2.18449090627e-11,3.64237393087
125,2.58691334596e-08,2.16144622858e-11,3.65175814371
126,2.5460133432e-08,2.13882538798e-11,3.66109147026
127,2.50607570169e-08,2.11661731753e-11,3.67037458706
128,2.46707046443e-08,2.09481132333e-11,3.6796081564
129,2.42896883109e-08,2.07339706919e-11,3.68879282675
130,2.39174310474e-08,2.05236456202e-11,3.69792923314
131,2.35536663706e-08,2.03165633275e-11,3.70710522412
132,2.31981379245e-08,2.01129499018e-11,3.71626565953
133,2.28505989473e-08,1.99128908255e-11,3.72537933905
134,2.25108118318e-08,1.97162980222e-11,3.7344468502
135,2.21785477384e-08,1.95230862339e-11,3.74346876879
136,2.185358621e-08,1.93331729101e-11,3.75244565927
137,2.15357148061e-08,1.91464781032e-11,3.761378075
138,2.12247287553e-08,1.89629243677e-11,3.77026655855
139,2.09204306257e-08,1.87824366651e-11,3.77911164202
140,2.06226280115e-08,1.86045139549e-11,3.78800105339
141,2.0331141248e-08,1.8429380189e-11,3.79687774177
142,2.00457910969e-08,1.82571153521e-11,3.8057122781
143,1.97664065002e-08,1.8087652736e-11,3.8145051573
144,1.94928223189e-08,1.79209276361e-11,3.82325686505
145,1.9224879089e-08,1.77568772769e-11,3.83196787805
146,1.89624227888e-08,1.75954407423e-11,3.84063866424
147,1.87053046177e-08,1.74365589079e-11,3.849269683
148,1.84533807852e-08,1.72801743767e-11,3.85786138541
149,1.82065123617e-08,1.71261929441e-11,3.86642290019
150,1.79645643897e-08,1.69743584498e-11,3.87500107429
151,1.77274074936e-08,1.68248655779e-11,3.8835410926
152,1.74949160058e-08,1.66776630644e-11,3.89204337585
153,1.72669683519e-08,1.65327010946e-11,3.90050833739
154,1.70434468922e-08,1.63899312538e-11,3.90893638338
155,1.68242377695e-08,1.62493064783e-11,3.91732791298
156,1.6609230764e-08,1.61107810099e-11,3.92568331846
157,1.63983191552e-08,1.59743103516e-11,3.9340029854
158,1.61913995888e-08,1.58398512247e-11,3.94228729286
159,1.59883719508e-08,1.57073615283e-11,3.9505366135
